,2004-01,2004-06,2005-01,2005-06,2006-01,2006-06,2007-01,2007-06,2008-01,2008-06,2009-01,2009-06,2010-01,2010-06,2011-01,2011-06,2012-01,2012-06,2013-01,2013-06,2014-01,2014-06,2015-01,2015-06,2016-01,2016-06,2017-01,2017-06,2018-01,2018-06,2019-01,2019-06,2020-01,2020-06,2021-01,2021-06,2022-01,2022-06
0,ADBE,ADBE,ADBE,ADBE,ATVI,ATVI,ATVI,ATVI,ATVI,ATVI,ATVI,ATVI,ATVI,ATVI,ATVI,ATVI,ATVI,ATVI,ATVI,FOXA,FOXA,FOXA,FOXA,FOXA,FOXA,FOXA,FOXA,FOXA,FOXA,ATVI,"ATVI
","ATVI
","ATVI
","ATVI
",ATVI,ATVI,ATVI,ATVI
1,ALTR,ALTR,ALTR,ALTR,ADBE,ADBE,ADBE,ADBE,ADBE,ADBE,ADBE,ADBE,ADBE,ADBE,ADBE,ADBE,ADBE,ADBE,ADBE,ATVI,ATVI,ATVI,FOX,FOX,FOX,FOX,FOX,FOX,FOX,ADBE,"ADBE
","ADBE
","ADBE
","ADBE
",ADBE,ADBE,ADBE,ADBE
2,AMZN,AMZN,AMZN,AMZN,ALTR,ALTR,AKAM,AKAM,AKAM,AKAM,AKAM,AKAM,ALTR,ALTR,AKAM,AKAM,AKAM,AKAM,AKAM,ADBE,ADBE,ADBE,ATVI,ATVI,ATVI,ATVI,ATVI,ATVI,ATVI,ALXN,"AMD
","AMD
","AMD
","AMD
",AMD,AMD,AMD,ADP
3,APCC,APCC,APCC,APCC,AMZN,AMZN,ALTR,ALTR,ALTR,ALTR,ALTR,ALTR,AMZN,AMZN,ALTR,ALXN,ALXN,ALXN,ALXN,AKAM,AKAM,AKAM,ADBE,ADBE,ADBE,ADBE,ADBE,ADBE,ADBE,ALGN,"ALXN
","ALXN
","ALXN
","ALXN
",ALXN,ALXN,ABNB,ABNB
4,AMGN,AMGN,AMGN,AMGN,APCC,APCC,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMGN,AMGN,AMZN,ALTR,ALTR,ALTR,ALTR,ALXN,ALXN,ALXN,AKAM,AKAM,AKAM,AKAM,AKAM,AKAM,ASML,GOOGL,"ALGN
","ALGN
","ALGN
","ALGN
",ALGN,ALGN,ALGN,ALGN
5,APOL,APOL,APOL,APOL,AMGN,AMGN,AEOS,AMGN,AMGN,AMGN,AMGN,AMGN,APOL,APOL,AMGN,AMZN,AMZN,AMZN,AMZN,ALTR,ALTR,ALTR,ALXN,ALXN,ALXN,ALXN,ALXN,ALXN,ALXN,GOOG,"GOOG
","GOOG
","GOOG
","GOOG
",GOOGL,GOOGL,GOOGL,GOOGL
6,AAPL,AAPL,AAPL,AAPL,AMLN,AMLN,APCC,AMLN,AMLN,AMLN,APOL,APOL,AAPL,AAPL,APOL,AMGN,AMGN,AMGN,AMGN,AMZN,AMZN,AMZN,ALTR,ALTR,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,AMZN,"AMZN
","AMZN
","AMZN
","AMZN
",GOOG,GOOG,GOOG,GOOG
7,AMAT,AMAT,AMAT,AMAT,APOL,APOL,AMGN,APOL,APOL,APOL,AAPL,AAPL,AMAT,AMAT,AAPL,APOL,APOL,APOL,ADI,AMGN,AMGN,AMGN,AMZN,AMZN,GOOG,GOOG,GOOG,GOOG,GOOG,AAL,"AAL
","AAL
","AAL
","AMGN
",AMZN,AMZN,AMZN,AMZN
8,ATYT,ATYT,ATYT,ATYT,AAPL,AAPL,AMLN,AAPL,AAPL,AAPL,AMAT,AMAT,ADSK,ADSK,AMAT,AAPL,AAPL,AAPL,AAPL,ADI,ADI,ADI,AAL,AAL,AMZN,AMZN,AMZN,AMZN,AMZN,AMGN,"AMGN
","AMGN
","AMGN
","ADI
",AEP,AEP,AEP,AMD
9,BEAS,BEAS,BEAS,BEAS,AMAT,AMAT,APOL,AMAT,AMAT,AMAT,ADSK,ADSK,ADP,ADP,ADSK,AMAT,AMAT,AMAT,AMAT,AAPL,AAPL,AAPL,AMGN,AMGN,AAL,AAL,AAL,AAL,AAL,ADI,"ADI
","ADI
","ADI
","ANSS
",AMGN,AMGN,AMGN,AEP
