,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,AAI,AAI,AAI,AAN,AAN,AAN,AAN,AAN,AAN,AAN,AAXN,AA
1,AAN,AAN,AAN,AAP,AAP,AAP,ABMD,ABMD,ACC,ACC,ACC,ACC
2,AAP,AAP,AAP,ACC,ACC,ACC,ACC,ACC,ACHC,ACHC,ACHC,ACHC
3,ACI,ACI,ACI,ACI,ACI,ACIW,ACIW,ACHC,ACIW,ACIW,ACIW,ACIW
4,ACIW,ACIW,ACIW,ACIW,ACIW,ACM,ACM,ACIW,ACM,ACM,ACM,ACM
5,ACM,ACM,ACM,ACM,ACM,ACXM,ACXM,ACM,ADNT,ADNT,ADNT,ADNT
6,ACV,ACV,ACV,ACXM,ACXM,ADVS,AEO,ACXM,AEO,AEO,ADS,AEO
7,ACXM,ACXM,ACXM,ADS,ADS,AEO,AFG,AEO,AFG,AFG,AEO,AFG
8,ADS,ADS,ADS,ADTN,ADTN,AFG,AGCO,AFG,AGCO,AGCO,AFG,AGCO
9,ADTN,ADTN,ADTN,ADVS,ADVS,AGCO,AHL,AGCO,AHL,AHL,AGCO,AIRC
10,ADVS,ADVS,ADVS,AEO,AEO,AHL,AKRX,AHL,AKRX,AKRX,AIRC,ALE
11,AEO,AEO,AEO,AF,AF,AJG,ALEX,AKRX,ALE,ALE,ALE,AM
12,AF,AF,AF,AFG,AFG,AKRX,ALGN,ALEX,ALEX,ALEX,AM,AMED
13,AFG,AFG,AFG,AGCO,AGCO,ALB,AMCX,AMCX,AMCX,AMCX,AMED,AMG
14,AGCO,AGCO,AGCO,AHL,AHL,ALEX,AMD,AN,AN,AN,AMG,AMKR
15,AGL,AGL,AINV,AINV,AINV,ALGN,ANSS,ARRS,APY,APY,AN,AN
16,AINV,AINV,AJG,AJG,AJG,ALK,AOS,ARW,ARRS,ARRS,ARW,ARW
17,AJG,AJG,ALB,ALB,ALB,AMCX,ARE,ASB,ARW,ARW,ARWR,ARWR
18,ALB,ALB,ALEX,ALEX,ALEX,AMD,ARRS,ASH,ASB,ASB,ASB,ASB
19,ALEX,ALEX,ALK,ALK,ALK,ANF,ARW,ATGE,ASGN,ASGN,ASGN,ASGN
20,ALK,ALK,AM,AMCX,AMCX,ANN,ASB,ATI,ASH,ASH,ASH,ASH
21,AM,AM,AMB,AMD,AMD,ANSS,ASH,ATO,ATGE,ATGE,ATGE,ATR
22,AMB,AMB,AME,AMG,AMG,AOL,ATI,ATR,ATI,ATI,ATR,AVNT
23,AME,AME,AMG,ANN,ANN,AOS,ATO,AVP,ATO,ATO,AVNS,AVT
24,AMG,AMG,ANN,ANR,ANR,APOL,ATR,AVT,ATR,ATR,AVNT,AXON
25,ANN,ANN,ANSS,ANSS,ANSS,ARE,AVP,BBBY,AVNS,AVNS,AVT,AYI
26,ANSS,ANSS,AOL,AOL,AOL,ARRS,AVT,BC,AVT,AVT,AYI,AZPN
27,AOL,AOL,ARE,APOL,APOL,ARW,BC,BCO,AYI,AYI,BC,AZTA
28,ARE,ARE,ARO,ARE,ARE,ASB,BDC,BDC,BBBY,BBBY,BCO,BC
29,ARO,ARO,ARW,ARO,ARO,ASH,BEAV,BID,BC,BC,BDC,BCO
30,ARW,ARW,ASBC,ARW,ARW,ASNA,BID,BIG,BCO,BCO,BHF,BDC
31,ASBC,ASBC,ASH,ASBC,ASBC,ATML,BIG,BIO,BDC,BDC,BJ,BFH
32,ASH,ASH,ASNA,ASH,ASH,ATO,BIO,BIVV,BID,BID,BKH,BHF
33,ASNA,ASNA,ATK,ASNA,ASNA,ATR,BKH,BKH,BIG,BIG,BLD,BJ
34,ATK,ATK,ATML,ATK,ATK,ATW,BMS,BLKB,BIO,BIO,BLDR,BKH
35,ATML,ATML,ATO,ATML,ATML,AVP,BOH,BMS,BKH,BKH,BLKB,BLD
36,ATO,ATO,ATR,ATO,ATO,AVT,BR,BOH,BLKB,BLKB,BOH,BLDR
37,ATR,ATR,ATW,ATR,ATR,AYI,BRCD,BR,BMS,BMS,BRO,BLKB
38,ATW,ATW,AVT,ATW,ATW,BC,BRO,BRO,BOH,BOH,BRX,BOH
39,AVT,AVT,AYI,AVT,AVT,BDC,BWLD,BWLD,BRO,BRO,BXS,BRBR
40,AYI,AYI,BBG,AYI,AYI,BEAV,BXS,BXS,BXS,BXS,BYD,BRKR
41,BBG,BBG,BCO,BBG,BBG,BID,CAA,CAA,BYD,BYD,CABO,BRX
42,BCO,BCO,BEAV,BCO,BCO,BIG,CAB,CABO,CABO,CABO,CACI,BYD
43,BEAV,BEAV,BEC,BEAV,BEAV,BIO,CABO,CAKE,CAKE,CAKE,CAR,CABO
44,BEC,BEC,BEZ,BGC,BGC,BKH,CAKE,CAR,CAR,CAR,CASY,CACI
45,BEZ,BEZ,BID,BID,BID,BMR,CAR,CARS,CARS,CARS,CATY,CADE
46,BID,BID,BIO,BIG,BIG,BMS,CASY,CASY,CASY,CASY,CBRL,CALX
47,BIO,BIO,BJ,BIO,BIO,BOH,CATY,CATY,CATY,CATY,CBSH,CAR
48,BJ,BJ,BKH,BKH,BKH,BR,CBOE,CBRL,CBRL,CBRL,CBT,CASY
49,BKH,BKH,BKS,BMR,BMR,BRO,CBRL,CBSH,CBSH,CBSH,CC,CATY
50,BKS,BKS,BLUD,BOBE,BOBE,BTU,CBSH,CBT,CBT,CBT,CCMP,CBRL
51,BLUD,BLUD,BOBE,BOH,BOH,BWLD,CBT,CC,CC,CC,CDAY,CBSH
52,BOBE,BOBE,BOH,BR,BR,BXS,CCP,CDK,CDK,CDK,CDK,CBT
53,BOH,BOH,BR,BRE,BRE,CAB,CDK,CFR,CFR,CFR,CFR,CC
54,BR,BR,BRE,BRO,BRO,CAKE,CDNS,CGNX,CGNX,CGNX,CFX,CFR
55,BRE,BRE,BRO,BXS,BXS,CATY,CEB,CHDN,CHDN,CHDN,CGNX,CGNX
56,BRO,BRO,BUCY,BYI,BYI,CBOE,CFR,CHFC,CHE,CHE,CHDN,CHDN
57,BUCY,BUCY,BWA,CAB,CAB,CBSH,CGNX,CIEN,CHFC,CHFC,CHE,CHE
